Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Financial flows to developing countries (US $),Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density(P/Km2),Land Area(Km2)
98.22443,46.3,86.43,155060000.0,17.44,2042.8,53.09,1.2060406050843107,18.296497,16114.158,10.72,2.7464254942161146,-0.5425884411837835,1.5800853737421137,1753.417829,153,9596960.0
98.46105,47.7,96.27,127720000.0,16.39,2364.16,54.84,1.372215889846225,17.50206,17552.816,10.41,3.0732901182522983,-0.5406290667837219,1.8879801357581554,2099.229435,153,9596960.0
98.7022,49.4,109.0,24770000.0,14.88,2718.7,62.13,1.5840648538201505,17.151705,18955.008,9.81,3.3696836778645394,-0.5289108216450451,2.2384811820505877,2693.970063,153,9596960.0
98.95058,51.1,128.8,142770000.0,14.14,2762.29,68.39,2.2290289991877033,20.981703,19560.7,9.18,3.479779842681101,-0.399672182350523,1.1752630919865952,3468.304602,153,9596960.0
99.2089,53.5,150.78,58540000.0,13.43,2980.2,70.05,2.2263215388220425,19.7715,20281.068,8.95,3.75684430437056,-0.42744656917489426,1.1167760508454716,3832.236432,153,9596960.0
99.7,55.6,170.41,131240000.0,12.26,3326.19,74.74,2.7049926837596088,20.564993,21551.547,8.93,4.159984641600328,-0.3707142704921743,1.4039601400842223,4550.453108,153,9596960.0
99.848724,58.0,194.62,43040000.0,11.34,3811.77,87.2,2.7285358173740475,18.748974,23090.885,8.75,4.59074225379218,-0.41505135465338844,1.1520852224099374,5614.352135,153,9596960.0
99.96193,60.7,218.25,100650000.0,11.53,3869.38,98.32,3.5414802210806213,22.102327,23873.234,8.41,4.72905337964482,-0.2951286938149788,0.7604521615644543,6300.615118,153,9596960.0
99.996445,63.2,258.3,301710000.0,11.45,4203.77,111.5,3.9095771151423726,22.276764,24600.36,8.05,4.965172031715332,-0.25870951185422286,0.7377990064059904,7020.338485,153,9596960.0
100.0,66.0,296.29,229420000.0,11.94,4345.86,133.22,4.678103473429705,24.659735,25072.023,7.69,4.9769590818754095,-0.1555017368192952,0.6587835825741943,7636.116601,153,9596960.0
100.0,68.4,340.55,92000000.0,12.18,4222.76,171.38,5.0878717139890135,27.040327,25209.49,7.21,4.899317675963754,-0.1062978565851154,0.5695430221633392,8016.431435,153,9596960.0
100.0,70.6,382.59,1245180000.0,12.56,4355.0,213.18,5.594559187927762,28.500713,25164.803,6.71,4.9065503316253265,-0.04431453055554292,0.5248416607560322,8094.363367,153,9596960.0
100.0,73.2,436.9,372490000.0,13.13,4643.1,248.1,6.1606538356869445,29.20226,25987.611,6.51,5.02460939951426,0.006365546123422786,0.5476926494926037,8816.986905,153,9596960.0
100.0,75.6,487.16,318260000.0,13.71,4990.28,295.0,6.820881779347858,29.917704,27109.42,6.39,5.241644277472707,0.06210617695384058,0.5018630479738729,9905.342004,153,9596960.0
100.0,77.6,529.28,201540000.0,14.45,5098.22,348.7,7.524232896079218,31.672895,28277.445,6.31,5.350604448062356,0.12118129760743766,0.3161416428137877,10143.83817,153,9596960.0
94.9055,79.7,223.19,90000.0,28.8,10.25,0.0,-0.24790484983138542,76.746826,7834.471,2.83,-0.3299212368274044,1.719985086487029,-0.4837319138745733,2396.627127,46,1138910.0
95.12935,80.7,215.58,10000.0,30.7,9.6,0.0,-0.23939008317416335,78.94737,7863.652,2.78,-0.33027325446000727,1.7780607356066773,-0.15542613078098447,2281.401762,46,1138910.0
96.8,82.4,211.95,223460000.0,29.08,9.71,0.0,-0.22510724878140378,80.32422,7917.907,2.65,-0.32945721404966344,1.9168259527145657,0.05592979140446704,3414.465158,46,1138910.0
95.79303,83.0,209.72,1940000.0,29.69,10.13,0.0,-0.2134926361982806,80.788925,9024.093,2.62,-0.32943054644648634,1.8408892937359467,0.4942246323719611,3741.092837,46,1138910.0
96.019844,83.8,208.15,790000.0,30.42,9.93,0.0,-0.20693979734226178,81.67896,9058.002,2.44,-0.32863583889622267,1.9276003692373578,0.4991751302990465,4714.073055,46,1138910.0
96.80676,84.6,205.86,15930000.0,29.97,8.77,0.0,-0.19940599458564137,84.04294,9322.767,2.48,-0.32831582360989386,1.8241055421093884,-0.3027910577515314,5472.53653,46,1138910.0
96.05723,85.4,204.03,10000.0,30.91,14.77,0.0,-0.21945689671393848,73.55417,9111.861,2.55,-0.32712643067476477,1.6103659533472763,-0.80044034811803,5193.241458,46,1138910.0
96.788994,86.3,208.97,3470000.0,29.75,15.96,0.0,-0.22110491606694918,71.81208,9474.296,2.4,-0.32629972078356073,1.5031730481946302,-0.021626828662567966,6336.709474,46,1138910.0
96.6936,87.0,217.2,780000.0,28.91,10.11,0.0,-0.18912549290733638,82.84114,9794.911,2.3,-0.3233449069850899,1.8719835468176773,0.5478530982797584,7335.166934,46,1138910.0
97.03217,87.6,216.6,1840000.0,28.9,12.96,0.0,-0.19395183529829638,78.59267,10308.172,2.14,-0.32302489169342746,1.6410795268307408,-0.15673447241531163,8050.255372,46,1138910.0
97.77942,88.45,216.82,310000.0,32.29,21.71,0.0,-0.1825726540513176,69.92658,10490.081,2.66,-0.31920603091971517,1.4442344085971788,0.12678475336967185,8218.347844,46,1138910.0
97.79094,89.1,237.49,55290000.0,32.38,20.99,0.0,-0.19206838460914125,69.60174,10938.481,2.58,-0.3179579700725709,1.359159104825503,-0.020612161961972575,8114.343921,46,1138910.0
98.1869,89.75,247.42,23220000.0,31.6,27.22,0.0,-0.18837996034287915,64.28759,10259.04,2.53,-0.31740860567799717,1.330556694019937,-0.3788254964706581,6175.87603,46,1138910.0
98.4,90.7,246.63,1454760000.0,30.74,25.02,0.0,-0.18626107831757968,66.44314,11435.303,2.58,-0.31610187488673525,1.3044773068680535,-0.5804386584191263,5870.777957,46,1138910.0
98.5,91.2,246.81,184770000.0,32.53,16.07,0.0,-0.1397633894290629,79.25381,11368.834,2.44,-0.3202034159055085,1.7313659557907641,-0.7494375692782926,6376.706716,46,1138910.0
98.5,92.0,247.06,144250000.0,30.72,19.11,0.0,-0.1449036402682154,75.868164,11332.247,2.29,-0.3182833201019966,1.6622074946524874,-0.4697240343366352,6729.583332,46,1138910.0
99.75592,92.5,245.49,152510000.0,30.72,23.84,0.0,-0.16754428709410077,69.49456,11221.787,2.51,-0.3169765852411966,1.486357281463881,-0.30333178735844313,6424.979492,46,1138910.0
93.73226,87.8,135.21,2220000.0,19.43,2.82,0.0,-0.3511022521746758,72.753624,8246.84,3.27,-0.34843950219655445,0.7963304883670527,-0.8115473045588195,1445.279324,71,283561.0
94.02462,88.75,134.56,2140000.0,17.05,3.74,0.0,-0.3531818956439512,65.17691,8211.651,3.35,-0.3472661098211982,0.6361237388362178,-0.1328259846877557,1894.616196,71,283561.0
94.30939,89.8,132.83,830000.0,17.1,4.1,0.0,-0.3514161606228683,64.50217,7965.1455,3.48,-0.3473087785921787,0.7530810006489783,-0.11398902538559419,2172.101877,71,283561.0
94.973045,90.6,130.59,360000.0,16.55,4.11,0.0,-0.35275027152768645,63.368984,8014.88,3.73,-0.34704743223124945,0.6228749049246978,-0.4329184063332858,2425.851842,71,283561.0
94.86557,91.1,130.98,310000.0,16.73,5.59,0.0,-0.35121996784274795,57.295647,8426.991,3.54,-0.34623672452656673,0.55629866203379,0.8410688549556085,2691.277685,71,283561.0
95.83265,91.7,132.24,8400000.0,16.16,5.09,0.0,-0.3529072257517827,58.14145,8767.223,3.65,-0.3451486703118693,0.3780228878394136,0.16330292764289034,3002.138604,71,283561.0
96.31526,92.3,133.33,10000.0,14.19,6.17,0.0,-0.35180854618310897,54.363903,9114.504,3.43,-0.3441299524659958,0.3492597345315574,-0.04278183117562882,3328.884156,71,283561.0
97.20657,93.05,148.98,2770000.0,15.32,6.68,0.0,-0.33521063698492953,63.417305,9883.912,3.07,-0.34329790986913067,0.880002713523044,0.41071702227180845,4249.01897,71,283561.0
96.47086,93.3,146.77,1270000.0,12.87,8.36,0.0,-0.3430975867457665,53.374233,9482.964,3.39,-0.3417991680723792,0.5725011394248887,-0.9334898526719695,4231.619235,71,283561.0
97.46214,93.6,156.29,2811680000.0,11.79,9.77,0.0,-0.3453341844391382,47.948853,10353.473,3.47,-0.3403324276031839,0.3229869227918563,-0.2466487615521508,4633.591284,71,283561.0
96.872696,93.9,153.38,394900000.0,13.15,8.47,0.0,-0.3358776924373386,57.394367,10805.037,3.38,-0.34041243244481745,0.5949782437466656,0.761474590841483,5200.555108,71,283561.0
